Timestamp;Visitors
2024-11-18T23:30:04.698801Z;—
2024-11-18T23:40:04.204957Z;—
2024-11-19T05:10:05.899844Z;2
2024-11-19T05:20:05.278578Z;25
2024-11-19T05:30:05.165146Z;25
2024-11-19T05:40:04.473396Z;40
2024-11-19T05:50:09.059475Z;57
2024-11-19T06:00:04.740658Z;57
2024-11-19T06:10:05.295422Z;67
2024-11-19T06:20:05.204839Z;68
2024-11-19T06:30:13.930804Z;68
2024-11-19T06:40:10.120724Z;66
2024-11-19T06:50:04.085223Z;63
2024-11-19T07:00:16.640228Z;63
2024-11-19T07:10:05.502032Z;56
2024-11-19T07:20:04.368084Z;55
2024-11-19T07:30:08.338090Z;55
2024-11-19T07:40:04.742989Z;53
2024-11-19T07:50:05.629864Z;62
2024-11-19T08:00:05.941273Z;62
2024-11-19T08:10:05.448733Z;79
2024-11-19T08:20:05.413204Z;86
2024-11-19T08:30:05.809941Z;86
2024-11-19T08:40:06.229532Z;100
2024-11-19T08:50:05.066610Z;95
2024-11-19T09:00:07.295446Z;95
2024-11-19T09:10:05.343792Z;104
2024-11-19T09:20:06.338053Z;106
2024-11-19T09:30:05.008826Z;106
2024-11-19T09:40:04.057297Z;108
2024-11-19T09:50:04.612365Z;110
2024-11-19T10:00:12.097851Z;110
2024-11-19T10:10:04.964865Z;98
2024-11-19T10:20:05.021868Z;85
2024-11-19T10:30:04.970509Z;85
2024-11-19T10:40:10.157057Z;79
2024-11-19T10:50:04.603412Z;82
2024-11-19T11:00:08.413224Z;82
2024-11-19T11:10:05.052817Z;98
2024-11-19T11:20:04.287799Z;113
2024-11-19T11:30:04.909108Z;113
2024-11-19T11:40:09.866105Z;123
2024-11-19T11:50:03.882465Z;122
2024-11-19T12:00:06.060629Z;122
2024-11-19T12:10:05.273609Z;123
2024-11-19T12:20:04.889911Z;105
2024-11-19T12:30:05.244545Z;105
2024-11-19T12:40:08.267386Z;83
2024-11-19T12:50:04.940431Z;81
2024-11-19T13:00:07.820346Z;81
2024-11-19T13:10:05.195703Z;83
2024-11-19T13:20:04.578599Z;90
2024-11-19T13:30:06.320496Z;90
2024-11-19T13:40:05.421857Z;90
2024-11-19T13:50:04.288864Z;93
2024-11-19T14:00:05.840073Z;93
2024-11-19T14:10:04.881191Z;91
2024-11-19T14:20:05.418634Z;97
2024-11-19T14:30:05.127622Z;97
2024-11-19T14:40:06.725471Z;94
2024-11-19T14:50:05.058476Z;98
2024-11-19T15:00:06.340438Z;98
2024-11-19T15:10:06.806769Z;105
2024-11-19T15:20:04.756098Z;115
2024-11-19T15:30:15.981869Z;115
2024-11-19T15:40:04.672317Z;118
2024-11-19T15:50:05.169970Z;124
2024-11-19T16:00:06.635067Z;124
2024-11-19T16:10:06.250495Z;131
2024-11-19T16:20:06.026544Z;135
2024-11-19T16:30:05.993973Z;135
2024-11-19T16:40:06.291432Z;160
2024-11-19T16:50:04.171187Z;197
2024-11-19T17:00:05.994579Z;197
2024-11-19T17:10:04.227412Z;228
